tweet_id,author,account_category,publish_date,content
31048,_NICKLUNA_,RightTroll,2016-03-27 16:08:00,Meghan Trainor - Meghan Trainor - Like I'm Gonna Lose You ft. John https://t.co/PjiVNiggrY #WakeUpAmerica #teaparty #tcot
4962,STAYWOKE88,LeftTroll,2017-05-04 06:20:00,"I'm just wondering if there are any actual ""working class Americans"" who actually want this  Less money AND less hours https://t.co/qilwOjv4WQ"
29212,SUSAYUNG,LeftTroll,2016-02-02 12:40:00,I'm so much proud #BlackHistoryMonth #AmericanHistoryIsBlack
41925,TEN_GOP,RightTroll,2017-01-20 16:32:00,It's a historical day for our country!  I'm really enjoying every minute. Proud to be an American! #inaugurationday
42244,TEN_GOP,RightTroll,2016-01-30 17:01:00,"I'm a CHRISTIAN! I would give my life for my faith in God, Jesus Christ and the Holy Spirit #CCOT #WakeUpAmerica https://t.co/gWnqeQBRxn"
42585,TEN_GOP,RightTroll,2016-10-11 23:36:00,"Mike Huckabee: ""I'm waiting on Hillary to apologize for lying to Congress, lying to the American ppl, destroying evidence..."" https://t.co/YMTwVD90v3"
44491,TEN_GOP,RightTroll,2016-12-03 19:49:00,".@GovMikeHuckabee: ""If China is going to dictate what America does, this is absurd. I'm proud to see Donald Trump have that conversation."" https://t.co/kLvhSTpkZy"
44710,TEN_GOP,RightTroll,2016-02-10 21:37:00,Boom! I'm doing something right! #Nobama #WakeUpAmerica #achievementunlocked https://t.co/UqwKqpepmP
45319,TEN_GOP,RightTroll,2016-02-03 00:05:00,If I were a dem I'd be embarrassed by who represents my party. But I could never be a dem. For I'm American! #TCOT https://t.co/qesmLlASZM
46243,TEN_GOP,RightTroll,2016-03-25 02:03:00,'@COJeepGirl well b/c I'm American and Hussein is the President atm'
47129,TEN_GOP,RightTroll,2017-04-25 21:26:00,"Hi, my name is William Orrick. I'm an activist judge who is trying to singlehandedly undermine the Law and Order of the United States. https://t.co/JumYcuAXP6"
48372,TEN_GOP,RightTroll,2017-06-01 21:16:00,The more liberals freak out about the things Pres. Trump is doing the more I'm sure he's doing the right thing for America! #ParisAgreement
50061,TEN_GOP,RightTroll,2016-07-22 01:34:00,"Peter Thiel: ""I'm proud to be gay. I'm proud to be a Republican. Most of all I'm proud to be an American""  #RNCinCLE https://t.co/wLFe5mplT6"
50697,TEN_GOP,RightTroll,2016-08-10 09:09:00,I'm one of the vast majority of Americans who don't give a crap that illegals don't like our immigration laws.. https://t.co/edH4dUQI0s
51928,TEN_GOP,RightTroll,2016-09-01 00:55:00,Trump was a strong & fearless LEADER today. I'm proud to be an American.ï¿½ï¿½ #TrumpEnMexico https://t.co/heth2IDdJJ
51948,TEN_GOP,RightTroll,2016-09-01 02:11:00,'@HillaryClinton Trump was a strong & fearless LEADER today. I'm proud to be an American.ï¿½ï¿½'
53241,TERRIISTOOGOOD,RightTroll,2015-08-13 16:02:00,#TrumpBecause I'm happy for an America where #Trump2016 wins. ï¿½ï¿½ï¿½
57016,THEFOUNDINGSON,RightTroll,2017-01-12 11:02:00,#LiberalHypocrisy I'm ready to risk safety of American children just to prove I'm not racist. Once again: Illegal immigration is BAD! https://t.co/QBlhW3FrWQ
57334,THEFOUNDINGSON,RightTroll,2017-01-21 13:59:00,'@GameOverRos They also helped him escape to South America. I'm just answering your question. Personally I think he should've been hanged'
57524,THEFOUNDINGSON,RightTroll,2017-01-28 16:09:00,"'@CallawayBob @LMinces Apparently, Hillary supporters do. And I'm not sure they know how elections work in America'"
57652,THEFOUNDINGSON,RightTroll,2017-01-31 01:50:00,Who's upset about the ban? Cause I'm not #NoBanNoWall #MakeAmericaGreatAgain https://t.co/nRzhs6GfWU
58623,THEFOUNDINGSON,RightTroll,2016-12-13 17:17:00,My President was Black and I'm really happy that he's #NotMyPresident anymore! #MakeAmericaGreatAgain https://t.co/0xD4Fx5LvC
58907,THEFOUNDINGSON,RightTroll,2016-12-27 14:08:00,"Well, everyone has the right to be an idiot. I'm glad idiots are not in charge anymore #MakeAmericaGreatAgain https://t.co/sJJnyamnAN"
59045,THEFOUNDINGSON,RightTroll,2016-12-04 01:38:00,I'm glad this madness is about to end. With Trump we'll restore what  was condemned and put to oblivion! #MakeAmericaGreatAgain https://t.co/I7z6nzFZZX
60058,THEFOUNDINGSON,RightTroll,2017-03-19 15:40:00,I'm really happy that @realDonaldTrump is our @POTUS  #MakeAmericaGreatAgain https://t.co/kPcHbHSS8r
60801,THEFOUNDINGSON,RightTroll,2016-04-20 16:25:00,I'm sure it'll #MakeAmericaGreatAgain https://t.co/nwToBrastG
62610,THEFOUNDINGSON,RightTroll,2016-06-19 13:50:00,I'm a free American and I won't be forced to share aliens' views to accommodate them #RefugeesNotWelcome #2A https://t.co/tkmzIceRx5
63733,THEFOUNDINGSON,RightTroll,2016-07-25 13:54:00,#WakeUpAmerica I'm not taking this risk of being killed out of fear of being called racist https://t.co/TiKQe9x6VW
64911,THEFOUNDINGSON,RightTroll,2016-08-31 12:59:00,#TrumpsMexicoTripSayings I'm here to Make America Great Again! https://t.co/LSvt3cG48x
193211,TPARTYNEWS,RightTroll,2016-01-21 00:58:00,I'm so angry because people DO believe her lies #OhHillNo #WakeUpAmerica https://t.co/6q1Vhx96Q2
193300,TPARTYNEWS,RightTroll,2016-10-11 01:43:00,"Mike Huckabee: ""I'm waiting on Hillary to apologize for lying to Congress, lying to the American ppl, destroying evidence..."" https://t.co/JgtAlDBT02"
193569,TPARTYNEWS,RightTroll,2016-11-03 00:24:00,"'I'm mot a politician. My only special interest is you, the American people.' ~ Donald Trump  #ImWithTur https://t.co/MfNseD5MOB"
193719,TPARTYNEWS,RightTroll,2016-12-02 00:45:00,.@mike_pence: âI'm here tonight to say âthank youâ for electing a president who will make America great again.â https://t.co/hbVzBIj56T
193970,TPARTYNEWS,RightTroll,2016-03-14 01:35:00,I'm pretty sure we should not let this happen to America! That's the exact reason why we need Trump so badly! https://t.co/jxhMZdZjKk
194002,TPARTYNEWS,RightTroll,2016-03-02 13:47:00,I'm standing for Trump to #MakeAmericaGreatAgain. Will you stand with me? https://t.co/JaxauvX49O
194105,TPARTYNEWS,RightTroll,2016-04-01 17:01:00,That's what I'm talking about! Common sense! #Trump #Trump2016 #MakeAmericaGreatAgain https://t.co/6tzVukfyeM
194134,TPARTYNEWS,RightTroll,2016-05-19 22:00:00,I'm not racist I'm patriot and I support @realDonaldTrump! He will #MakeAmericaGreatAgain https://t.co/33RqGf9yks
194356,TPARTYNEWS,RightTroll,2016-06-05 02:56:00,I'm pretty sure we should not let this happen to America! That's the exact reason why we need #Trump2016 so badly! https://t.co/LpmuXsNdQH
194392,TPARTYNEWS,RightTroll,2016-07-01 20:34:00,I'm not racist just because I think America should defend its borders!  #maga #tcot #ccot #gop https://t.co/oaO5ipDTJH
202896,TRAYNESHACOLE,LeftTroll,2016-02-17 00:25:00,#trendinghashtags in America #BlackLivesMatterIsAHateGroup WTF right now?!?!?! I'm about to cry right now https://t.co/KrPX7shpnH
207930,TRAYNESHACOLE,LeftTroll,2016-08-12 13:18:00,Oh. That's how white America is happy for black Qweens are champions. I'm here for Simone Biles and Simone Manuele. https://t.co/jJxzOJ3kDy
209634,TRAYNESHACOLE,LeftTroll,2016-09-08 13:25:00,Zimmerman really homeless rn and I'm bout to sleep so good in my African American home living like a African American
223040,USA_GUNSLINGER,RightTroll,2017-07-04 03:47:00,Ronald Reagan speech... so powerful I'm so proud to live in this era of the great American rebirth! https://t.co/MATw2gHMIH #4thOfJuly2017
223068,USA_GUNSLINGER,RightTroll,2017-07-05 02:51:00,This has been the most patriotic Independence Day I've ever seen! I'm so proud to be American! ðºð¸ðºð¸ðºð¸ #JulyFourth
223366,USA_GUNSLINGER,RightTroll,2017-08-17 23:35:00,I voted for Trump because I knew he's the only man who could save America from liberal degeneracy. I'm still sure that I made a right choice
223397,USA_GUNSLINGER,RightTroll,2017-08-02 21:40:00,Thank God @POTUS is taking steps to correct the wrongs of the past and offer a clear way forward. I'm so excited about the future of America https://t.co/KmIIZ4r1bA
288658,WASHINGTONLINE,NewsFeed,2016-09-25 16:07:00,'I'm Just Excited': Crowds Flock to African American Museum https://t.co/sk7McIQNJ3
297138,WAYNE_DRAKE_,RightTroll,2015-10-17 07:14:00,"'@POLSDC Well, it's sad but true. I'm affraid everyone thinks so, except the Americans'"
297526,WAYNE_DRAKE_,RightTroll,2016-02-05 13:43:00,Meghan Trainor - Meghan Trainor - Like I'm Gonna Lose You ft. John https://t.co/nWcZSh6k8c #WakeUpAmerica #teaparty #tcot
298740,WESTERNWINDWES,RightTroll,2016-02-11 07:57:00,Meghan Trainor - Meghan Trainor - Like I'm Gonna Lose You ft. John https://t.co/tx8Yw20KaE #WakeUpAmerica #teaparty #tcot
312336,WOKELUISA,LeftTroll,2017-11-14 21:02:00,Sessions has zero senior staff members that are African American. I'm not surprised #SessionsHearing
312554,WOKELUISA,LeftTroll,2017-12-14 23:18:00,FAKE Trump: âI'm giving giant tax cuts to American people for Christmasâ   REAL Trump: âI'm taking away your internet for Christmasâ  #NetNeutrality
